Target: DefaultSC

Observer: GroundStation1
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2029 18:21:29.791    01 Jan 2029 18:24:50.784      200.99292132    
01 Jan 2029 19:54:57.071    01 Jan 2029 20:01:18.088      381.01722838    
01 Jan 2029 21:31:21.880    01 Jan 2029 21:36:29.741      307.86045170    
01 Jan 2029 23:08:02.187    01 Jan 2029 23:12:24.601      262.41358590    
02 Jan 2029 00:43:27.806    02 Jan 2029 00:49:16.500      348.69413656    
02 Jan 2029 02:18:51.127    02 Jan 2029 02:24:47.939      356.81223872    
02 Jan 2029 19:00:14.563    02 Jan 2029 19:06:21.566      367.00242340    
02 Jan 2029 20:35:56.146    02 Jan 2029 20:41:41.293      345.14706203    
02 Jan 2029 22:12:48.914    02 Jan 2029 22:17:09.471      260.55736105    
02 Jan 2029 23:48:39.525    02 Jan 2029 23:53:52.269      312.74377458    
03 Jan 2029 01:23:52.174    03 Jan 2029 01:30:10.195      378.02022190    
03 Jan 2029 03:00:42.341    03 Jan 2029 03:03:07.198      144.85796944    
03 Jan 2029 18:06:03.586    03 Jan 2029 18:11:07.632      304.04577842    
03 Jan 2029 19:40:40.287    03 Jan 2029 19:46:53.297      373.00950520    
03 Jan 2029 21:17:23.585    03 Jan 2029 21:22:07.043      283.45877765    
03 Jan 2029 22:53:45.443    03 Jan 2029 22:58:23.474      278.03076475    
04 Jan 2029 00:29:01.112    04 Jan 2029 00:35:08.725      367.61275566    
04 Jan 2029 02:04:42.209    04 Jan 2029 02:09:55.590      313.38114571    
04 Jan 2029 17:13:13.582    04 Jan 2029 17:14:47.340      93.758346874    
04 Jan 2029 18:45:40.932    04 Jan 2029 18:52:01.157      380.22565779    
04 Jan 2029 20:21:53.939    04 Jan 2029 20:27:13.797      319.85811376    
04 Jan 2029 21:58:40.183    04 Jan 2029 22:02:59.159      258.97574213    
04 Jan 2029 23:34:12.310    04 Jan 2029 23:39:50.474      338.16366568    
05 Jan 2029 01:09:30.483    05 Jan 2029 01:15:38.644      368.16081929    
05 Jan 2029 17:51:05.274    05 Jan 2029 17:56:58.927      353.65220538    
05 Jan 2029 19:26:28.916    05 Jan 2029 19:32:24.347      355.43055113    
05 Jan 2029 21:03:20.933    05 Jan 2029 21:07:46.427      265.49477141    
05 Jan 2029 22:39:21.142    05 Jan 2029 22:44:22.203      301.06138283    
06 Jan 2029 00:14:33.193    06 Jan 2029 00:20:50.845      377.65288898    
06 Jan 2029 01:50:49.680    06 Jan 2029 01:54:34.448      224.76863977    
06 Jan 2029 16:57:07.403    06 Jan 2029 17:01:33.223      265.82057242    
06 Jan 2029 18:31:15.970    06 Jan 2029 18:37:33.898      377.92830522    
06 Jan 2029 20:07:51.601    06 Jan 2029 20:12:45.805      294.20447977    
06 Jan 2029 21:44:22.448    06 Jan 2029 21:48:52.146      269.69758506    
06 Jan 2029 23:19:41.733    06 Jan 2029 23:25:41.691      359.95775418    
07 Jan 2029 00:55:12.952    07 Jan 2029 01:00:50.753      337.80061256    
07 Jan 2029 17:36:21.630    07 Jan 2029 17:42:37.686      376.05649632    
07 Jan 2029 19:12:20.866    07 Jan 2029 19:17:52.672      331.80574214    
07 Jan 2029 20:49:11.145    07 Jan 2029 20:53:29.303      258.15786378    
07 Jan 2029 22:24:51.058    07 Jan 2029 22:30:17.784      326.72610388    
08 Jan 2029 00:00:05.641    08 Jan 2029 00:06:20.815      375.17357168    
08 Jan 2029 16:41:54.139    08 Jan 2029 16:47:28.516      334.37690822    
08 Jan 2029 18:16:57.311    08 Jan 2029 18:23:01.737      364.42581892    
08 Jan 2029 19:53:46.281    08 Jan 2029 19:58:19.031      272.74981686    
08 Jan 2029 21:29:56.457    08 Jan 2029 21:34:46.272      289.81540147    
08 Jan 2029 23:05:09.230    08 Jan 2029 23:11:23.759      374.52925562    
09 Jan 2029 00:41:05.508    09 Jan 2029 00:45:40.426      274.91804087    
09 Jan 2029 15:48:15.170    09 Jan 2029 15:51:45.309      210.13930226    
09 Jan 2029 17:21:47.955    09 Jan 2029 17:28:08.348      380.39320208    
09 Jan 2029 18:58:13.839    09 Jan 2029 19:03:19.729      305.89054374    
09 Jan 2029 20:34:52.565    09 Jan 2029 20:39:15.895      263.32971293    
09 Jan 2029 22:10:16.879    09 Jan 2029 22:16:07.502      350.62286938    
09 Jan 2029 23:45:40.668    09 Jan 2029 23:51:36.125      355.45720432    
10 Jan 2029 16:26:59.477    10 Jan 2029 16:33:07.343      367.86577147    
10 Jan 2029 18:02:42.895    10 Jan 2029 18:08:26.174      343.27954708    
